age_group,prot_level,cal_scenario,prot_inad_EAR,prot_inad_OPT,cal_inad
60-64,upper,low,0.0387,0.4936,0.1145
60-64,upper,medium,0.0351,0.4705,0.0993
60-64,upper,high,0.0319,0.4486,0.0864
65-69,lower,low,0.149,0.7991,0.12
65-69,lower,medium,0.1372,0.7788,0.1039
65-69,lower,high,0.1267,0.7582,0.0903
65-69,mean,low,0.0762,0.6729,0.12
65-69,mean,medium,0.0695,0.6474,0.1039
65-69,mean,high,0.0636,0.6222,0.0903
65-69,upper,low,0.0413,0.5211,0.12
65-69,upper,medium,0.0373,0.4966,0.1039
65-69,upper,high,0.0339,0.4732,0.0903
70-74,lower,low,0.1706,0.8237,0.1266
70-74,lower,medium,0.1569,0.8039,0.1093
70-74,lower,high,0.1448,0.7833,0.0946
70-74,mean,low,0.0911,0.7109,0.1266
70-74,mean,medium,0.0828,0.6852,0.1093
70-74,mean,high,0.0755,0.6593,0.0946
70-74,upper,low,0.0506,0.5644,0.1266
70-74,upper,medium,0.0456,0.5382,0.1093
70-74,upper,high,0.0412,0.5128,0.0946
75-79,lower,low,0.1867,0.8397,0.1318
75-79,lower,medium,0.1716,0.82,0.1136
75-79,lower,high,0.1581,0.7993,0.0981
75-79,mean,low,0.0993,0.7327,0.1318
75-79,mean,medium,0.0901,0.7065,0.1136
75-79,mean,high,0.082,0.6798,0.0981
75-79,upper,low,0.0551,0.586,0.1318
75-79,upper,medium,0.0495,0.5581,0.1136
75-79,upper,high,0.0447,0.5308,0.0981
80-84,lower,low,0.2158,0.8658,0.1384
80-84,lower,medium,0.1984,0.8474,0.1192
80-84,lower,high,0.1828,0.8278,0.1029
80-84,mean,low,0.1168,0.7682,0.1384
80-84,mean,medium,0.1059,0.7426,0.1192
80-84,mean,high,0.0965,0.716,0.1029
80-84,upper,low,0.065,0.6193,0.1384
80-84,upper,medium,0.0583,0.5902,0.1192
80-84,upper,high,0.0526,0.5614,0.1029
85-89,lower,low,0.2173,0.875,0.1475
85-89,lower,medium,0.1989,0.8564,0.1266
85-89,lower,high,0.1826,0.8363,0.1088
85-89,mean,low,0.1201,0.7835,0.1475
85-89,mean,medium,0.1084,0.7572,0.1266
85-89,mean,high,0.0983,0.7296,0.1088
85-89,upper,low,0.0677,0.6404,0.1475
85-89,upper,medium,0.0604,0.6099,0.1266
85-89,upper,high,0.0542,0.5792,0.1088
90-94,lower,low,0.2326,0.8982,0.1586
90-94,lower,medium,0.2114,0.8811,0.1354
90-94,lower,high,0.1926,0.8621,0.1157
90-94,mean,low,0.1272,0.8251,0.1586
90-94,mean,medium,0.1135,0.8001,0.1354
90-94,mean,high,0.1016,0.7729,0.1157
90-94,upper,low,0.07,0.6921,0.1586
90-94,upper,medium,0.0614,0.6603,0.1354
90-94,upper,high,0.0542,0.6275,0.1157
95-99,lower,low,0.2289,0.9243,0.1673
95-99,lower,medium,0.2049,0.9089,0.1411
95-99,lower,high,0.184,0.8912,0.1189
95-99,mean,low,0.127,0.8626,0.1673
95-99,mean,medium,0.1113,0.8389,0.1411
95-99,mean,high,0.0979,0.8125,0.1189
95-99,upper,low,0.0733,0.746,0.1673
95-99,upper,medium,0.0633,0.7143,0.1411
95-99,upper,high,0.055,0.6808,0.1189
