iso3,country,region_WB,protein_inad_EAR,calorie_inad_MDER,protein_inad_EAR_pct,calorie_inad_MDER_pct,gap_pp,ratio
ECU,Ecuador,Latin America & Caribbean,0.8013479888693374,0.05985331614309175,80.13479888693375,5.985331614309175,74.14946727262458,13.388531170997261
TTO,Trinidad & Tobago,Latin America & Caribbean,0.5443170620536971,0.035173131128342416,54.431706205369714,3.5173131128342416,50.91439309253547,15.475365558657582
GMB,Gambia,Sub-Saharan Africa,0.2882680443396935,0.01863959419585037,28.82680443396935,1.8639594195850369,26.962845014384314,15.465360528281728
MDG,Madagascar,Sub-Saharan Africa,0.5881079016958228,0.3308526150872552,58.81079016958228,33.08526150872552,25.72552866085676,1.7775525260416094
GRD,Grenada,Latin America & Caribbean,0.31895939667215373,0.09326349884132251,31.895939667215373,9.32634988413225,22.56958978308312,3.419981028320927
LBY,Libya,Middle East & North Africa,0.24606049412750983,0.02663109172052013,24.606049412750984,2.663109172052013,21.94294024069897,9.23959470793727
GTM,Guatemala,Latin America & Caribbean,0.22413754420344487,0.019927156816057147,22.413754420344485,1.9927156816057148,20.421038738738773,11.2478436473605
GAB,Gabon,Sub-Saharan Africa,0.23030689636824506,0.04108630499855924,23.030689636824505,4.1086304998559235,18.922059136968585,5.605441919791063
NGA,Nigeria,Sub-Saharan Africa,0.2129528111160279,0.034406064099073104,21.29528111160279,3.4406064099073106,17.85467470169548,6.189397616153509
STP,São Tomé & Príncipe,Sub-Saharan Africa,0.22987312218979714,0.053663095646979714,22.987312218979714,5.366309564697971,17.621002654281742,4.283635139165419
KWT,Kuwait,Middle East & North Africa,0.24122984346214923,0.07217095715393447,24.122984346214924,7.217095715393447,16.905888630821476,3.342478096107644
LCA,St. Lucia,Latin America & Caribbean,0.27773865683405236,0.11136042140483506,27.773865683405237,11.136042140483505,16.63782354292173,2.4940517764778636
BTN,Bhutan,South Asia,0.17501381410910294,0.02714866099329715,17.501381410910295,2.714866099329715,14.786515311580578,6.446498932389809
LKA,Sri Lanka,South Asia,0.1732886695465694,0.032175824835349746,17.32886695465694,3.2175824835349744,14.111284471121966,5.385679168547282
MDA,Moldova,Europe & Central Asia,0.26708728718085595,0.13028927164518628,26.708728718085595,13.028927164518628,13.679801553566968,2.04995610005564
SWZ,Eswatini,Sub-Saharan Africa,0.15181721388579106,0.06211805971133624,15.181721388579106,6.211805971133624,8.969915417445481,2.4440108817192363
GIN,Guinea,Sub-Saharan Africa,0.13658592024588978,0.05177716253248011,13.658592024588978,5.177716253248011,8.480875771340967,2.637956843622102
BOL,Bolivia,Latin America & Caribbean,0.26389870035612883,0.20357659126996439,26.389870035612883,20.357659126996438,6.032210908616445,1.2963116177054506
SYR,Syria,Middle East & North Africa,0.08637084096256288,0.02635560579933302,8.637084096256288,2.635560579933302,6.001523516322986,3.277133586690262
GNB,Guinea-Bissau,Sub-Saharan Africa,0.22959882294318287,0.17016580722556357,22.959882294318287,17.016580722556355,5.94330157176193,1.3492653235490357
TON,Tonga,East Asia & Pacific,0.09894851940495838,0.039522636853688516,9.894851940495839,3.9522636853688518,5.942588255126987,2.503591037492324
HUN,Hungary,Europe & Central Asia,0.24867201422652926,0.20491867531322758,24.867201422652926,20.491867531322757,4.375333891330168,1.213515624412576
TCD,Chad,Sub-Saharan Africa,0.19629180211926872,0.16748467535891098,19.629180211926872,16.7484675358911,2.880712676035774,1.1719985825486754
BLR,Belarus,Europe & Central Asia,0.0838629024504283,0.0630691885732727,8.38629024504283,6.30691885732727,2.079371387715559,1.3296968670050004
COL,Colombia,Latin America & Caribbean,0.05206928757949081,0.03462612096095696,5.206928757949081,3.4626120960956963,1.7443166618533845,1.5037574563492708
BHS,Bahamas,Latin America & Caribbean,0.16754787335031812,0.1536866223040501,16.75478733503181,15.368662230405011,1.3861251046268008,1.0901916564920349
COD,Congo - Kinshasa,Sub-Saharan Africa,0.21875568789569938,0.21400753262127076,21.87556878956994,21.400753262127076,0.47481552744286226,1.0221868605103328
AGO,Angola,Sub-Saharan Africa,0.030300224652559823,0.02661748499099711,3.0300224652559824,2.661748499099711,0.36827396615627117,1.138357912582963
MMR,Myanmar (Burma),East Asia & Pacific,0.0722745668110167,0.06999655808623308,7.227456681101669,6.999655808623308,0.227800872478362,1.032544582006121
