iso3,sex,age_group,kcal_mean,best_dist,cv,source_final,kcal_country_mean
AFG,Females,0-0.99,582.3964652543718,gamma,0.2422877009207791,nearest_country_exact,2022.2804374050506
AFG,Females,1-4,1012.2423848355089,gamma,0.2422877009207791,nearest_country_exact,2022.2804374050506
AFG,Females,5-9,1344.1122985258044,gamma,0.23195934072221033,nearest_country_exact,2022.2804374050506
AFG,Females,10-14,1753.1250911523985,gamma,0.2237194617298297,nearest_country_exact,2022.2804374050506
AFG,Females,15-19,2091.3433421574355,gamma,0.2198225314441843,nearest_country_exact,2022.2804374050506
AFG,Females,20-24,2348.398100593504,gamma,0.21862414027824972,nearest_country_exact,2022.2804374050506
AFG,Females,25-29,2356.5133917941816,gamma,0.21808005162723562,nearest_country_exact,2022.2804374050506
AFG,Females,30-34,2323.7665518123076,gamma,0.2128538346050675,nearest_country_exact,2022.2804374050506
AFG,Females,35-39,2277.11685311115,gamma,0.2166627812181338,nearest_country_exact,2022.2804374050506
AFG,Females,40-44,2230.27670429055,gamma,0.21795739067408385,nearest_country_exact,2022.2804374050506
AFG,Females,45-49,2191.4142993621417,gamma,0.21736508845602243,nearest_country_exact,2022.2804374050506
AFG,Females,50-54,2127.9415067769196,gamma,0.2207487662005226,nearest_country_exact,2022.2804374050506
AFG,Females,55-59,2089.4070992764396,gamma,0.21873663501237167,nearest_country_exact,2022.2804374050506
AFG,Females,60-64,2007.6722563491444,gamma,0.2211533292725109,nearest_country_exact,2022.2804374050506
AFG,Females,65-69,1961.2024272052374,gamma,0.22356753763197876,nearest_country_exact,2022.2804374050506
AFG,Females,70-74,1859.533805109655,gamma,0.22169860393203228,nearest_country_exact,2022.2804374050506
AFG,Females,75-79,1807.7313726213654,gamma,0.22101283914053457,nearest_country_exact,2022.2804374050506
AFG,Females,80-84,1709.0358885015198,gamma,0.21962674540007723,nearest_country_exact,2022.2804374050506
AFG,Females,85-89,1649.1287453747439,gamma,0.21962674540007723,nearest_country_nearest_age,2022.2804374050506
AFG,Females,90-94,1613.7050231584872,gamma,0.21962674540007723,nearest_country_nearest_age,2022.2804374050506
AFG,Females,95-99,1585.9098862821113,gamma,0.21962674540007723,nearest_country_nearest_age,2022.2804374050506
AFG,Males,0-0.99,671.061576416926,gamma,0.25719697042456635,nearest_country_exact,2022.2804374050506
AFG,Males,1-4,1064.4680398114479,gamma,0.25719697042456635,nearest_country_exact,2022.2804374050506
AFG,Males,5-9,1540.212438178165,gamma,0.2419485801474349,nearest_country_exact,2022.2804374050506
AFG,Males,10-14,2159.3446153605064,gamma,0.2386888981999282,nearest_country_exact,2022.2804374050506
AFG,Males,15-19,2834.40564428572,gamma,0.23037221860427753,nearest_country_exact,2022.2804374050506
AFG,Males,20-24,2934.4660209282347,gamma,0.23374412080642076,nearest_country_exact,2022.2804374050506
AFG,Males,25-29,2911.1676229831337,gamma,0.22602152321961202,nearest_country_exact,2022.2804374050506
AFG,Males,30-34,2878.7170387426145,gamma,0.22567798501061925,nearest_country_exact,2022.2804374050506
AFG,Males,35-39,2836.415951102055,gamma,0.22329732909255628,nearest_country_exact,2022.2804374050506
AFG,Males,40-44,2786.803694987351,gamma,0.2239016633045005,nearest_country_exact,2022.2804374050506
AFG,Males,45-49,2733.44591985695,gamma,0.2202350860789402,nearest_country_exact,2022.2804374050506
AFG,Males,50-54,2665.37058271854,gamma,0.2222977271356219,nearest_country_exact,2022.2804374050506
AFG,Males,55-59,2603.093393660927,gamma,0.22200844069642928,nearest_country_exact,2022.2804374050506
AFG,Males,60-64,2507.244080770524,gamma,0.22423836776641817,nearest_country_exact,2022.2804374050506
AFG,Males,65-69,2437.232500751118,gamma,0.225095953624134,nearest_country_exact,2022.2804374050506
AFG,Males,70-74,2306.3192047589605,gamma,0.2332642335968947,nearest_country_exact,2022.2804374050506
AFG,Males,75-79,2233.0276504602716,gamma,0.2339065459825836,nearest_country_exact,2022.2804374050506
AFG,Males,80-84,2085.0479076536503,gamma,0.2334610963612427,nearest_country_exact,2022.2804374050506
AFG,Males,85-89,2009.6190797923316,gamma,0.2334610963612427,nearest_country_nearest_age,2022.2804374050506
AFG,Males,90-94,1955.8380821742812,gamma,0.2334610963612427,nearest_country_nearest_age,2022.2804374050506
AFG,Males,95-99,1911.463204344239,gamma,0.2334610963612427,nearest_country_nearest_age,2022.2804374050506
