Country / Region,Population (thousands),"Mean protein intake (% EAR, Low)","Mean protein intake (% EAR, Central)","Mean protein intake (% EAR, High)","Protein inadequacy (% , Low)","Protein inadequacy (% , Central)","Protein inadequacy (% , High)"
Kiribati,120,240.24,259.9,270.47,0.96,0.52,0.37
Kuwait,4365,157.51,181.68,217.51,31,24.12,17.09
Kyrgyzstan,6241,253.66,281.83,300,1.1,0.53,0.34
Laos,7020,421.59,476.78,518.8,0.05,0.03,0.02
Latvia,1901,212.7,245.66,287.7,3.88,1.65,0.57
Lebanon,5797,355.95,410.8,473.98,0.04,0.01,0
Lesotho,2140,179.01,193.52,201.29,1.7,0.75,0.48
Liberia,4838,211.18,224.48,230.97,0.86,0.51,0.39
Libya,6768,158.01,182.17,208.52,31.44,24.61,19.14
Lithuania,2767,256.04,295.65,349.33,0.9,0.36,0.12
Luxembourg,608,255.87,294.04,359.8,0.02,0,0
Madagascar,26962,91.66,96.83,99.27,68.35,58.81,54.32
Malawi,18176,297.82,313.09,320.16,0.01,0,0
Malaysia,32675,196.01,226.37,264.24,3.32,1.24,0.38
Maldives,474,271.88,313.77,361.96,0.31,0.13,0.06
Mali,19932,280.01,302.99,315.36,0.1,0.05,0.03
Malta,489,246.62,284.53,339.87,2.25,1.06,0.39
Marshall Islands,44,257.07,286.75,306.51,0.53,0.22,0.12
Mauritania,4248,234.45,261.92,280.45,0.08,0.02,0.01
Mauritius,1275,215.01,248.21,287.31,0.44,0.1,0.02
Mexico,123071,227.83,262.87,302.53,9.41,5.92,3.63
Micronesia (Federated States of),108,203.45,222.97,234.34,1.08,0.43,0.26
Moldova,3094,111.48,127.69,142.47,41.34,26.71,17.2
Mongolia,3126,292.7,335.49,375.12,0.31,0.13,0.07
Montenegro,606,381.52,440.21,506.82,0.01,0,0
Morocco,35374,259.58,293.96,320.57,5.05,3.28,2.39
Mozambique,28350,181.94,191.07,195.27,25.31,23.25,22.38
Myanmar (Burma),51544,291.15,325.63,349.14,9.35,7.23,6.13
Namibia,2536,187.77,214.12,236.47,3.64,1.47,0.69
Nepal,27554,216.11,238.09,251.39,0.25,0.08,0.04
Netherlands,17302,261.25,301.16,362.18,0.13,0.03,0
New Zealand,4883,278.17,321.07,381.72,0.08,0.02,0
Nicaragua,6308,211.46,237.09,254.97,3.64,1.67,0.97
Niger,21638,327.79,343.76,351.06,0.02,0.01,0.01
Nigeria,200330,176.33,199.11,216.15,26.42,21.3,18.28
North Macedonia,1888,266,306.62,350.56,0.07,0.01,0
Norway,5273,276.64,318.65,385.27,0.64,0.22,0.04
Oman,4528,231.15,266.89,315.81,0.2,0.04,0.01
Pakistan,222488,152.77,170.05,181.35,8.29,4.01,2.46
Palestinian Territories,4759,805.77,905.08,975.53,0,0,0
Panama,4126,236.77,273.45,321.48,1.98,0.74,0.22
Papua New Guinea,9256,196.5,216.37,228.35,3,1.52,1.01
Paraguay,6333,263.41,302.65,341.01,2.32,1.1,0.55
Peru,31699,246.81,283.21,317.73,2.84,1.37,0.71
Philippines,107874,280.85,318.76,348.89,10.18,7.64,6.18
Poland,37855,234.46,270.78,318.28,2.59,0.97,0.27
Portugal,10237,263.69,304.51,359.12,0.4,0.13,0.04
Qatar,2752,227.95,262.02,320.25,0.21,0.05,0.01
Romania,19349,244.3,282.15,330.21,1.49,0.56,0.17
Russia,144900,221.74,256.1,299.35,0.89,0.22,0.04
Rwanda,12256,244.6,261.89,270.65,13.37,11.54,10.74
Samoa,203,267.39,300.53,324.19,1.88,1,0.65
Saudi Arabia,29560,302.8,349.05,419.9,0,0,0
Senegal,15639,207.92,227.41,238.63,19.58,16.52,15.04
Serbia,6928,294.51,339.49,388.14,0.5,0.16,0.05
Seychelles,115,166.25,192,225.61,5.42,1.93,0.51
Sierra Leone,7405,276.56,299.03,311.07,0.03,0.01,0.01
Singapore,5611,250.39,287.89,351.46,0.79,0.29,0.06
Slovakia,5388,149.49,172.65,202.7,13.4,5.72,1.67
Slovenia,2057,191.3,220.87,261.59,4.89,2.06,0.65
Solomon Islands,700,272.53,293.9,305.18,1.34,0.88,0.71
South Africa,57950,254.83,292.52,328.55,0.01,0,0
South Korea,51388,223.01,257.34,306.75,8.48,5.32,2.89
South Sudan,10007,228.26,241.46,247.75,0.84,0.54,0.44
Spain,46862,229.49,264.92,314.52,0.6,0.17,0.03
Sri Lanka,21998,190.93,219.39,247.23,22.66,17.33,13.57
St. Lucia,175,112.34,129.43,147.52,46.54,27.77,14.46
St. Vincent & Grenadines,103,232.3,267.07,301.55,0.4,0.08,0.02
Sudan,43422,239.77,264.88,280.37,0.12,0.04,0.02
Suriname,592,196.21,226.11,258.04,3.03,0.91,0.24
Sweden,10114,198.74,229.21,274.73,1.15,0.29,0.04
Switzerland,8460,179.07,206.26,249.42,2.9,0.81,0.1
Syria,19584,200.63,219.66,230.69,11.43,8.64,7.38
São Tomé & Príncipe,206,172.84,190.39,200.99,27.26,22.99,20.82
Taiwan,23498,222.65,256.77,307.74,0.58,0.15,0.02
Tajikistan,9151,267.44,291.2,304.48,0.38,0.19,0.13
Tanzania,56218,170.73,184.88,192.53,1.85,0.82,0.52
Thailand,70794,130.86,150.88,172.7,19.17,8.48,3.23
Timor-Leste,1255,347.64,381.15,400.75,0,0,0
Togo,8095,246.74,263.84,272.46,0.33,0.18,0.13
Tonga,103,195.93,220.31,237.79,13.97,9.89,7.8
Trinidad & Tobago,1474,92.23,106.52,124.52,71.58,54.43,33.72
Tunisia,11620,258.03,295.52,329.71,0.23,0.07,0.02
Turkey,83603,226.6,261.7,305.91,0.73,0.21,0.05
Turkmenistan,6563,227.32,261.25,294.63,1.66,0.62,0.24
Uganda,40741,208.03,223.57,231.61,1.71,1.02,0.78
Ukraine,44714,160.54,184.08,206.05,7.75,2.77,1
United Arab Emirates,9297,196.17,225.85,273.8,3.1,1.23,0.3
United Kingdom,66201,188.28,217.24,259.3,3.13,1.11,0.26
United States,332631,219.46,252.91,304.79,2.21,0.88,0.24
Uruguay,3357,270.13,311.89,361.75,0.46,0.17,0.06
Uzbekistan,31893,306.47,347.54,379.82,0.89,0.44,0.26
Vanuatu,280,323.34,352.92,369.71,0.01,0.01,0
Venezuela,28801,178.32,204.44,228.78,8.23,3.63,1.69
Vietnam,95272,287.17,327.61,362.12,0.03,0.01,0
Yemen,33392,252.54,272.37,282.84,0.87,0.64,0.55
Zambia,17625,214.26,234.55,246.29,0.73,0.32,0.2
Zimbabwe,14694,168.05,185.23,195.65,2.89,1.11,0.61
