Country / Region,Population (thousands),"Mean protein intake (g/day, Total)","Mean protein intake (g/day, Female)","Mean protein intake (g/day, Male)","Mean protein intake (% RDA, Total)","Mean protein intake (% RDA, Female)","Mean protein intake (% RDA, Male)"
Samoa,203,101.8,92.3,111.1,199.8,184.2,215
Saudi Arabia,29560,116.7,95.5,129.9,228.1,210.9,238.8
Senegal,15639,60.4,53.3,67.3,154.6,139.2,169.7
Serbia,6928,132.4,116,150.4,229.3,219.5,240.1
Seychelles,115,84,71.4,94.6,159,142.6,172.6
Sierra Leone,7405,80.8,72.3,89.4,216.6,197.2,236.1
Singapore,5611,99.2,85.4,112.1,200.4,192.8,207.5
Slovakia,5388,81,67.8,94.9,141.7,130.9,153
Slovenia,2057,95.1,80.2,110.1,163.6,148.6,178.6
Solomon Islands,700,92.9,84.1,101.4,229.3,213.8,244
South Africa,57950,106.4,98.6,114.7,225,204.3,247.2
South Korea,51388,82.2,71.5,93,165,159,170.9
South Sudan,10007,63.8,56.7,71.2,165.2,151.2,179.6
Spain,46862,101.3,84.4,118.8,183.7,170.7,197.2
Sri Lanka,21998,62.7,56.6,69.3,154.3,145,164.3
St. Lucia,175,63.9,56.4,71.4,113.9,104.5,123.4
St. Vincent & Grenadines,103,101.4,89,113.2,196.4,180.2,211.8
Sudan,43422,73.3,64.9,81.9,188.2,172.6,204.2
Suriname,592,84,74.4,93.5,179.5,164.9,194.1
Sweden,10114,96.2,81.4,110.8,174,162.4,185.4
Switzerland,8460,79.6,63,96.5,145.1,129.9,160.5
Syria,19584,77.4,66.6,88.2,162.5,145.6,179.5
São Tomé & Príncipe,206,62.2,55.1,69.3,151.6,138.5,164.9
Taiwan,23498,101.2,88.3,114.4,204.9,197.2,212.6
Tajikistan,9151,83.2,72.8,94.1,206.2,189.7,223.5
Tanzania,56218,48,42.8,53.3,130.9,119.9,142.1
Thailand,70794,52.8,47.5,58.4,112.9,106.6,119.5
Timor-Leste,1255,89.4,80.3,98.3,271.8,255,288.3
Togo,8095,80.2,71.1,89.2,205.8,188.4,223.1
Tonga,103,91.8,84,100,166.4,153.5,179.9
Trinidad & Tobago,1474,42.3,36.9,47.7,79.8,72.8,86.9
Tunisia,11620,89.3,78.9,99.9,177.4,163,192
Turkey,83603,82.1,68,96.2,155.1,136.5,173.6
Turkmenistan,6563,96.1,83.2,109.6,212.2,194.3,230.9
Uganda,40741,61.7,55.5,68.1,172.1,156.6,188
Ukraine,44714,78.8,66.7,92.7,141.2,128.8,155.5
United Arab Emirates,9297,102.4,77.9,115.8,175,152.2,187.4
United Kingdom,66201,85.8,73.8,98.3,153.8,143.3,164.8
United States,332631,94.4,81.6,107.1,161,149.7,172.2
Uruguay,3357,107.5,94.1,121.8,210.5,194.8,227.2
Uzbekistan,31893,104.6,90.7,118.4,225.2,205.5,244.7
Vanuatu,280,92.5,84,100.8,217.4,205.6,229
Venezuela,28801,83.6,72.6,94.8,185.4,171.3,199.7
Vietnam,95272,81.4,72.3,90.8,209.5,197.5,222
Yemen,33392,90.3,77.8,102.5,245.4,222,268.1
Zambia,17625,65.8,58.3,73.5,176.7,161.3,192.4
Zimbabwe,14694,59.1,53.8,65.1,153.9,138.7,170.7
